EmployeeID,Age,Gender,Department,JobRole,Salary,Education,ExperienceYears,Attrition,OverTime,MaritalStatus
1,50,Male,R&D,HR Executive,79534,High School,25,No,Yes,Married
2,36,Female,HR,Manager,83209,Masters,6,No,No,Single
3,29,Male,Finance,Analyst,138169,Diploma,7,No,No,Divorced
4,42,Male,R&D,Research Scientist,61908,Bachelors,4,No,No,Divorced
5,40,Female,HR,Sales Executive,149067,Bachelors,27,No,Yes,Single
6,44,Female,Tech,HR Executive,128575,Diploma,2,No,No,Married
7,32,Male,Sales,Manager,70918,Masters,7,No,No,Married
8,32,Female,HR,Research Scientist,28219,Diploma,14,No,Yes,Single
9,45,Female,Sales,Research Scientist,27163,PhD,26,No,Yes,Divorced
10,57,Male,Tech,Research Scientist,22470,Masters,15,Yes,No,Married
11,45,Male,HR,Manager,129034,Diploma,25,No,No,Divorced
12,24,Male,Finance,Sales Executive,36543,PhD,3,No,No,Divorced
13,43,Male,R&D,HR Executive,39276,PhD,11,No,No,Married
14,23,Female,HR,Research Scientist,140014,Masters,16,No,No,Divorced
15,45,Female,Tech,Manager,56881,High School,25,No,No,Divorced
16,51,Male,HR,Analyst,98950,High School,30,No,No,Single
17,59,Male,Sales,Manager,27749,PhD,14,No,No,Married
18,23,Male,Admin,Manager,44182,High School,33,Yes,Yes,Divorced
19,42,Female,HR,Manager,97450,PhD,28,Yes,No,Married
20,54,Male,Finance,Research Scientist,100543,High School,8,No,No,Married
21,33,Female,HR,Manager,116487,PhD,13,Yes,No,Divorced
22,43,Male,R&D,Analyst,130227,PhD,3,No,No,Married
23,46,Male,HR,Research Scientist,118144,PhD,23,No,Yes,Single
24,48,Male,Admin,Analyst,145351,PhD,16,No,Yes,Single
25,49,Female,Sales,Developer,41383,Bachelors,12,No,No,Divorced
26,37,Female,HR,Manager,98578,High School,19,No,No,Married
27,36,Female,Finance,HR Executive,136258,PhD,16,Yes,No,Divorced
28,24,Male,Tech,HR Executive,45412,Diploma,26,No,No,Married
29,58,Female,HR,Research Scientist,33181,Masters,32,No,No,Divorced
30,28,Female,HR,HR Executive,64898,Diploma,20,No,Yes,Divorced
31,42,Male,R&D,Research Scientist,79630,Diploma,16,No,No,Married
32,30,Male,Finance,Manager,23405,Bachelors,21,No,No,Single
33,39,Female,Admin,Sales Executive,116404,High School,24,No,No,Divorced
34,25,Female,Tech,Sales Executive,30862,Bachelors,2,No,No,Single
35,46,Female,Sales,Analyst,74679,High School,26,No,No,Married
36,35,Female,HR,Manager,48688,PhD,26,No,Yes,Divorced
37,30,Male,Admin,HR Executive,68017,Bachelors,11,No,Yes,Married
38,47,Male,Tech,Manager,116481,Masters,14,No,No,Single
39,23,Male,Sales,Developer,32939,High School,19,Yes,Yes,Married
40,41,Female,Admin,Sales Executive,132271,Bachelors,21,No,Yes,Divorced
41,49,Female,Finance,HR Executive,114467,Masters,1,No,Yes,Single
42,28,Male,Finance,Sales Executive,124152,Diploma,3,No,No,Divorced
43,29,Male,Tech,Manager,59585,PhD,12,No,Yes,Single
44,56,Female,Sales,HR Executive,136315,PhD,31,No,No,Married
45,35,Female,Finance,Analyst,124447,Diploma,21,No,No,Married
46,38,Male,Tech,Manager,132813,Bachelors,24,No,No,Divorced
47,57,Male,Finance,Analyst,128362,Diploma,26,No,No,Divorced
48,25,Male,Finance,HR Executive,126700,Masters,16,No,No,Divorced
49,23,Female,Admin,Sales Executive,42942,High School,5,No,No,Single
50,27,Female,Admin,Developer,130075,Bachelors,15,No,No,Single
51,25,Female,Finance,Research Scientist,25272,High School,7,No,No,Divorced
52,50,Female,R&D,Sales Executive,64134,Diploma,32,No,No,Single
53,39,Female,Admin,Analyst,44265,PhD,9,No,No,Single
54,47,Female,Sales,Manager,143671,High School,33,No,No,Married
55,55,Male,Tech,HR Executive,68192,High School,18,No,No,Married
56,31,Male,Tech,Sales Executive,48668,PhD,13,Yes,Yes,Married
57,57,Female,Sales,Developer,131732,High School,2,Yes,No,Divorced
58,35,Male,Sales,HR Executive,101560,High School,22,No,No,Married
59,52,Female,Sales,Analyst,117435,PhD,10,No,No,Married
60,36,Male,Sales,HR Executive,89283,PhD,5,Yes,No,Single
61,29,Female,HR,HR Executive,29297,Diploma,33,No,No,Married
62,35,Male,Tech,Manager,84005,Diploma,0,No,Yes,Single
63,44,Male,HR,Research Scientist,148833,High School,34,No,No,Married
64,42,Female,Finance,Analyst,78434,Bachelors,24,Yes,No,Divorced
65,37,Female,Finance,Manager,84749,Diploma,28,Yes,No,Divorced
66,39,Male,Tech,Research Scientist,21607,Diploma,22,No,No,Married
67,45,Male,Finance,Manager,79183,Bachelors,17,No,No,Married
68,47,Female,Sales,Research Scientist,106994,Bachelors,13,No,Yes,Married
69,46,Male,HR,Research Scientist,76305,PhD,16,Yes,No,Divorced
70,50,Female,Sales,Research Scientist,47973,Diploma,1,No,No,Single
71,36,Female,Finance,Manager,43117,Masters,30,No,No,Single
72,22,Male,Admin,HR Executive,101986,Masters,18,No,No,Married
73,46,Female,HR,Research Scientist,101071,High School,31,Yes,No,Divorced
74,28,Male,Sales,HR Executive,142688,Diploma,27,No,No,Single
75,30,Male,Tech,Analyst,114891,Masters,7,No,No,Married
76,45,Female,Sales,Developer,27645,Diploma,21,No,Yes,Divorced
77,22,Male,Admin,HR Executive,62238,Diploma,23,No,Yes,Divorced
78,29,Female,Finance,Developer,89694,Masters,1,No,Yes,Single
79,45,Female,HR,Research Scientist,61773,Diploma,18,No,No,Divorced
80,32,Female,Tech,Developer,36786,Bachelors,1,Yes,Yes,Married
81,38,Male,HR,Developer,60693,High School,27,Yes,No,Married
82,29,Female,Tech,Research Scientist,116447,PhD,31,No,No,Single
83,56,Male,HR,HR Executive,46578,Masters,18,No,No,Divorced
84,56,Female,Finance,Research Scientist,66408,PhD,15,No,Yes,Single
85,54,Female,Tech,Analyst,89702,High School,29,No,No,Single
86,26,Female,R&D,Sales Executive,104845,Bachelors,21,No,Yes,Divorced
87,49,Male,HR,Manager,35076,Bachelors,13,Yes,Yes,Single
88,28,Male,HR,Research Scientist,39377,Bachelors,0,No,No,Divorced
89,30,Female,Sales,Research Scientist,29278,Bachelors,1,Yes,No,Married
90,29,Female,Tech,Developer,84808,Masters,21,No,No,Single
91,33,Male,Admin,Analyst,147220,Masters,32,Yes,No,Divorced
92,55,Male,R&D,Developer,145446,Diploma,14,Yes,No,Divorced
93,54,Male,Finance,HR Executive,147368,Diploma,21,No,Yes,Divorced
94,44,Female,Sales,Research Scientist,53539,High School,10,No,No,Single
95,45,Male,R&D,Research Scientist,146552,Diploma,3,Yes,Yes,Married
96,58,Female,Tech,Developer,31440,High School,6,No,No,Single
97,56,Male,R&D,Research Scientist,142059,High School,20,No,No,Married
98,43,Female,HR,HR Executive,46245,High School,6,Yes,No,Single
99,48,Female,HR,Sales Executive,42097,Bachelors,3,Yes,No,Single
100,56,Female,Sales,Manager,93703,PhD,11,No,Yes,Single
101,22,Male,Tech,Manager,87092,PhD,26,No,No,Married
102,56,Male,Tech,Manager,129454,Masters,16,No,No,Divorced
103,58,Male,R&D,Sales Executive,21151,High School,19,No,No,Single
104,35,Female,Sales,Research Scientist,41698,Bachelors,30,No,Yes,Single
105,24,Female,Tech,Developer,37601,Diploma,25,No,Yes,Married
106,22,Male,Admin,Analyst,46807,Diploma,30,No,No,Single
107,26,Female,Admin,Research Scientist,65302,Masters,34,No,No,Divorced
108,47,Female,HR,Sales Executive,105864,Masters,8,No,No,Divorced
109,35,Female,R&D,HR Executive,28039,High School,4,No,No,Married
110,48,Male,Finance,Sales Executive,136730,High School,7,Yes,No,Married
111,30,Female,HR,Manager,67427,Diploma,20,No,No,Divorced
112,36,Male,Sales,Research Scientist,91839,Diploma,15,No,Yes,Divorced
113,36,Male,Tech,Manager,78049,Diploma,15,No,No,Divorced
114,47,Male,HR,Analyst,39053,Diploma,17,No,Yes,Married
115,34,Male,Finance,HR Executive,117180,PhD,27,No,No,Divorced
116,53,Male,Finance,Manager,136801,High School,17,No,Yes,Divorced
117,53,Female,Admin,Analyst,121281,High School,13,No,No,Divorced
118,25,Male,Sales,Sales Executive,130845,Diploma,15,No,No,Single
119,51,Male,HR,Manager,106298,Bachelors,20,No,No,Married
120,58,Male,R&D,Manager,109147,Diploma,0,No,Yes,Married
121,44,Female,HR,Developer,75413,Masters,10,No,Yes,Married
122,36,Female,Admin,HR Executive,85958,Bachelors,10,No,No,Married
123,50,Female,Finance,HR Executive,51275,Masters,1,No,No,Single
124,57,Female,Sales,Sales Executive,46597,Bachelors,31,No,No,Single
125,34,Male,Sales,Developer,97521,Masters,18,No,Yes,Single
126,53,Male,R&D,Analyst,114243,Diploma,4,No,No,Single
127,28,Female,Sales,Analyst,143410,Diploma,2,No,No,Single
128,43,Female,Admin,Sales Executive,134778,Bachelors,27,No,No,Married
129,49,Female,Admin,HR Executive,88908,Masters,25,No,No,Married
130,23,Female,Admin,Analyst,101619,PhD,22,No,No,Married
131,27,Male,Sales,Sales Executive,75188,Bachelors,29,No,No,Single
132,49,Female,Sales,Analyst,54710,Bachelors,7,No,No,Divorced
133,49,Female,Admin,Research Scientist,138493,High School,28,Yes,No,Married
134,41,Female,Sales,Manager,111352,Bachelors,12,No,Yes,Married
135,51,Female,Sales,HR Executive,95486,PhD,24,Yes,No,Divorced
136,32,Female,Finance,Research Scientist,69050,Diploma,21,No,No,Single
137,49,Female,HR,Sales Executive,69249,Masters,32,No,Yes,Divorced
138,46,Female,Tech,Sales Executive,54247,High School,6,No,No,Divorced
139,54,Male,Sales,Research Scientist,90162,Masters,22,Yes,No,Married
140,22,Male,Tech,Manager,46408,Diploma,5,No,No,Married
141,48,Male,Tech,Manager,96313,Bachelors,14,No,No,Single
142,34,Male,Finance,Developer,90683,PhD,14,No,No,Divorced
143,24,Male,Sales,Analyst,138335,High School,33,No,No,Single
144,27,Male,Admin,Developer,25443,PhD,13,No,No,Divorced
145,29,Female,Tech,Manager,20079,PhD,28,No,No,Married
146,48,Female,Sales,Research Scientist,116818,PhD,15,No,No,Divorced
147,30,Male,R&D,Analyst,58345,PhD,28,No,No,Single
148,58,Female,Admin,Research Scientist,32901,Diploma,22,No,No,Divorced
